fill time utc;[CH4]
18.08.21 00:05;2054
18.08.21 00:24;2099
18.08.21 01:03;2093
18.08.21 01:22;2105
18.08.21 01:42;2095
18.08.21 02:01;2099
18.08.21 02:40;2073
18.08.21 02:59;2115
18.08.21 03:18;2060
18.08.21 03:38;2115
18.08.21 04:16;2124
18.08.21 04:35;
18.08.21 04:56;
18.08.21 05:13;
18.08.21 06:14;2176
18.08.21 06:32;2103
18.08.21 07:11;2082
18.08.21 07:30;2062
18.08.21 07:49;2068
18.08.21 08:09;2065
18.08.21 08:47;2019
18.08.21 09:07;2036
18.08.21 09:26;2030
18.08.21 09:45;2051
18.08.21 10:24;2035
18.08.21 10:44;1997
18.08.21 11:03;2020
18.08.21 11:22;1964
18.08.21 12:01;1990
18.08.21 12:20;2019
18.08.21 12:40;1952
18.08.21 12:59;2014
18.08.21 13:38;2024
18.08.21 13:57;1983
18.08.21 14:16;2028
18.08.21 14:36;1960
18.08.21 15:14;1975
18.08.21 15:34;2037
18.08.21 15:53;
18.08.21 16:13;2031
18.08.21 16:51;2017
18.08.21 17:11;2015
18.08.21 17:30;2020
18.08.21 17:49;2041
18.08.21 18:28;2034
18.08.21 18:47;2049
18.08.21 19:07;2042
18.08.21 19:26;2049
18.08.21 20:05;2003
18.08.21 20:24;2049
18.08.21 20:43;2017
18.08.21 21:03;2042
18.08.21 21:42;2039
18.08.21 22:01;2045
18.08.21 22:20;2041
18.08.21 22:40;2045
18.08.21 23:18;2013
18.08.21 23:38;2029
18.08.21 23:57;1997
19.08.21 00:16;2027
19.08.21 00:55;2011
19.08.21 01:14;2046
19.08.21 01:34;2034
19.08.21 01:53;2025
19.08.21 02:51;2033
19.08.21 03:11;2043
19.08.21 03:49;2001
19.08.21 04:09;2014
19.08.21 04:28;2023
19.08.21 04:47;2026
19.08.21 05:26;2047
19.08.21 05:45;2096
19.08.21 06:05;2066
19.08.21 06:24;2075
19.08.21 07:03;2070
19.08.21 07:22;2017
19.08.21 07:41;2071
19.08.21 08:01;2046
19.08.21 08:40;2006
